Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
185.125.190.39-172.17.0.2-80-58920-6,185.125.190.39,80,172.17.0.2,58920,6,08/08/2022 06:14:06 PM,8190749,823,541,1315760.0,0.0,11680.0,20.0,1598.7363304981754,1188.3340962503316,0.0,0.0,0.0,0.0,160639.76566734005,166.52933693853882,6009.353631694786,31928.566953483,544531.0,-738.0,8185846.0,9958.450121654498,41574.45236282158,587592.0,0.0,8190560.0,15167.70370370371,50350.69526380357,550578.0,143.0,1,0,0,0,16460,10820,100.47921136394241,66.05012557459641,0.0,11680.0,964.8791208791214,1209.4498982975258,1462769.0564918956,1,0,0,679,1364,0,0,0,0.0,965.5865102639297,1598.7363304981775,0.0,0,0,0,1315760,823,160735,0,964,0,0,32458,65535,822,20,0,0,0,0,1.659982446679332E15,0.0,1.659982446679332E15,1.659982446679332E15,NeedManualLabel
172.17.0.2-31.13.74.35-59568-80-6,172.17.0.2,59568,31.13.74.35,80,6,08/08/2022 06:14:21 PM,765659,5,3,139.0,385.0,139.0,0.0,27.8,62.162689774494154,385.0,0.0,128.33333333333334,222.27985363800593,684.3777713055028,10.448515592450425,109379.85714285714,177169.92851443365,485948.0,86.0,765659.0,191414.75,212099.9202001657,485948.0,364.0,196466.0,98233.0,99470.12512307402,168569.0,27897.0,0,0,0,0,120,64,6.530322245281516,3.9181933471689097,0.0,385.0,58.22222222222222,130.88045860419516,17129.694444444445,1,2,0,2,7,0,0,0,0.0,65.5,27.8,128.33333333333334,0,0,0,0,0,0,0,17,0,48,64240,32629,1,20,0,0,0,0,1.659982461341356E15,0.0,1.659982461341356E15,1.659982461341356E15,NeedManualLabel
31.13.74.35-172.17.0.2-80-59568-6,31.13.74.35,80,172.17.0.2,59568,6,08/08/2022 06:14:22 PM,74214,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,26.949093163015064,74214.0,0.0,74214.0,74214.0,74214.0,74214.0,0.0,74214.0,74214.0,0,0,0,0,0,0,0,0,0,40,0,26.949093163015064,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32628,0,0,20,0,0,0,0,1.659982462107811E15,0.0,1.659982462107811E15,1.659982462107811E15,NeedManualLabel
172.17.0.2-31.13.74.35-38034-443-6,172.17.0.2,38034,31.13.74.35,443,6,08/08/2022 06:14:21 PM,1681191,12,7,641.0,3859.0,392.0,0.0,53.41666666666668,116.78142624215342,1460.0,0.0,551.2857142857142,622.5977070001983,2676.6738579970984,11.301511844876638,93399.5,282042.27473413607,1197508.0,85.0,1681191.0,152835.54545454544,353911.24572083424,1197508.0,133.0,423186.0,70531.0,92461.46049030375,241602.0,463.0,0,0,0,0,260,144,7.137796954658929,4.163714890217708,0.0,1460.0,224.99999999999997,436.7906881598529,190786.10526315783,1,2,0,9,18,0,0,0,0.0,236.8421052631579,53.416666666666664,551.2857142857143,0,0,0,4476,8,10593,0,33,0,203,64240,32151,4,20,0,0,0,0,1.659982461623044E15,0.0,1.659982461623044E15,1.659982461623044E15,NeedManualLabel
31.13.74.35-172.17.0.2-443-38034-6,31.13.74.35,443,172.17.0.2,38034,6,08/08/2022 06:14:23 PM,84923,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,282.60895163854315,47.101491939757196,28307.666666666664,49029.53440869425,84922.0,-90.0,84923.0,42461.5,60048.214965142804,84922.0,1.0,0,0,0,0,0,0,0,0,0,60,20,35.32611895481789,11.775372984939299,0.0,24.0,4.8,10.73312629199899,115.2,1,0,1,1,3,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,0,6,0,0,32126,0,1,20,0,0,0,0,1.659982463310522E15,0.0,1.659982463310522E15,1.659982463310522E15,NeedManualLabel
172.17.0.2-157.240.12.35-48702-443-6,172.17.0.2,48702,157.240.12.35,443,6,08/08/2022 06:14:22 PM,1962456,12,9,832.0,4348.0,396.0,0.0,69.33333333333334,122.29497375632658,2920.0,0.0,483.1111111111111,935.6505015822474,2639.549625571223,10.700876860423877,98122.79999999999,191497.09858832683,699615.0,128.0,1962456.0,178405.09090909088,280891.8170853165,846467.0,128.0,1293366.0,161670.75,227715.86856352998,699615.0,719.0,0,0,0,0,260,184,6.114786777385072,4.586090083038805,0.0,2920.0,235.45454545454547,621.3138710884592,386030.9264069265,1,2,0,10,20,0,0,0,0.0,246.66666666666666,69.33333333333333,483.1111111111111,0,0,0,5180,10,2734,0,39,0,207,64240,31960,5,20,0,0,0,0,1.659982462207777E15,0.0,1.659982462207777E15,1.659982462207777E15,NeedManualLabel
157.240.12.35-172.17.0.2-443-48702-6,157.240.12.35,443,172.17.0.2,48702,6,08/08/2022 06:14:24 PM,105534,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,227.41486156120303,37.90247692686717,35178.0,60929.82218093205,105533.0,-271.0,105534.0,52767.0,74622.39283217874,105533.0,1.0,0,0,0,0,0,0,0,0,0,60,20,28.426857695150378,9.475619231716793,0.0,24.0,4.8,10.73312629199899,115.2,1,0,1,1,3,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,0,6,0,0,31935,0,1,20,0,0,0,0,1.659982464170804E15,0.0,1.659982464170804E15,1.659982464170804E15,NeedManualLabel
172.17.0.2-31.13.74.18-39632-443-6,172.17.0.2,39632,31.13.74.18,443,6,08/08/2022 06:14:23 PM,670853,37,42,655.0,62054.0,396.0,0.0,17.70270270270271,72.1383180905747,4380.0,0.0,1477.4761904761906,840.5547888613902,93476.51422889961,117.76052279709563,8600.67948717949,34863.31995482588,285933.0,-341.0,670853.0,18634.80555555556,50000.22950908437,286126.0,53.0,617888.0,15070.439024390244,46831.95151605834,286072.0,0.0,0,0,0,0,760,844,55.153662575854916,62.606860221240716,0.0,4380.0,783.8625,952.6434739446688,907529.5884493669,1,2,0,37,78,0,0,0,1.0,793.7848101265823,17.7027027027027,1477.4761904761904,0,0,0,62709,43,101595,0,8,0,785,64240,32113,3,20,0,0,0,0,1.659982463682596E15,0.0,1.659982463682596E15,1.659982463682596E15,NeedManualLabel
31.13.74.18-172.17.0.2-443-39632-6,31.13.74.18,443,172.17.0.2,39632,6,08/08/2022 06:14:24 PM,71322,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,28.041838422927007,71322.0,0.0,71322.0,71322.0,71322.0,71322.0,0.0,71322.0,71322.0,0,0,0,0,0,0,0,0,0,40,0,28.041838422927007,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32112,0,0,20,0,0,0,0,1.659982464353939E15,0.0,1.659982464353939E15,1.659982464353939E15,NeedManualLabel
172.17.0.2-31.13.74.35-38040-443-6,172.17.0.2,38040,31.13.74.35,443,6,08/08/2022 06:14:24 PM,1245745,11,6,641.0,3843.0,392.0,0.0,58.272727272727266,121.20403533636238,2920.0,0.0,640.5,1130.2972617855887,3599.452536434021,13.646452524393032,77859.0625,174393.22099075172,578568.0,91.0,1245745.0,124574.49999999999,210344.0117237844,578568.0,139.0,602949.0,120589.8,188402.6086992959,454275.0,540.0,0,0,0,0,240,124,8.830057515783727,4.816395008609305,0.0,2920.0,249.11111111111114,682.4068037114182,465679.04575163405,1,2,0,8,16,0,0,0,0.0,263.7647058823529,58.27272727272727,640.5,0,0,0,4484,8,3796,0,37,0,226,64240,32151,4,20,0,0,0,0,1.659982464447683E15,0.0,1.659982464447683E15,1.659982464447683E15,NeedManualLabel
172.17.0.2-157.240.12.35-48708-443-6,172.17.0.2,48708,157.240.12.35,443,6,08/08/2022 06:14:25 PM,1316812,12,9,832.0,4365.0,396.0,0.0,69.33333333333334,122.29497375632658,2920.0,0.0,484.99999999999994,935.7060168664087,3946.6529770384836,15.947606795806841,65840.59999999999,132059.74725754367,573882.0,80.0,1316812.0,119710.18181818184,176340.82694873482,573882.0,294.0,619812.0,77476.5,68822.63145423686,191899.0,665.0,0,0,0,0,260,184,9.112918169032481,6.83468862677436,0.0,2920.0,236.22727272727275,621.6690232421706,386472.3744588745,1,2,0,9,20,0,0,0,0.0,247.47619047619048,69.33333333333333,485.0,0,0,0,5197,10,4211,0,39,0,207,64240,31960,5,20,0,0,0,0,1.659982465212967E15,0.0,1.659982465212967E15,1.659982465212967E15,NeedManualLabel
157.240.12.35-172.17.0.2-443-48708-6,157.240.12.35,443,172.17.0.2,48708,6,08/08/2022 06:14:26 PM,392450,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,61.15428717034017,10.192381195056695,130816.66666666667,226580.61716381065,392449.0,-409.0,392450.0,196225.0,277502.6420630982,392449.0,1.0,0,0,0,0,0,0,0,0,0,60,20,7.644285896292521,2.548095298764174,0.0,24.0,4.8,10.73312629199899,115.2,1,0,1,1,3,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,0,6,0,0,31935,0,1,20,0,0,0,0,1.659982466531009E15,0.0,1.659982466531009E15,1.659982466531009E15,NeedManualLabel
172.17.0.2-31.13.74.18-39638-443-6,172.17.0.2,39638,31.13.74.18,443,6,08/08/2022 06:14:26 PM,1064589,42,45,655.0,62595.0,396.0,0.0,15.595238095238102,67.84525416973956,2920.0,0.0,1391.0000000000007,702.4822223567459,59412.59960416649,81.72167850691676,12378.94186046512,41744.55119057411,320434.0,-320.0,1064589.0,25965.58536585365,65776.35834096305,320808.0,75.0,970876.0,22065.363636363636,55393.7145939488,320691.0,1.0,0,0,0,0,860,904,39.45184479644257,42.26983371047418,0.0,2920.0,718.75,854.4731555544728,730124.3735632182,1,2,0,41,86,0,0,0,1.0,727.0114942528736,15.595238095238095,1391.0,0,0,0,63250,45,65198,0,7,0,719,64240,32113,3,20,0,0,0,0,1.659982466017398E15,0.0,1.659982466017398E15,1.659982466017398E15,NeedManualLabel
31.13.74.18-172.17.0.2-443-39638-6,31.13.74.18,443,172.17.0.2,39638,6,08/08/2022 06:14:27 PM,166046,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,12.044855040169592,166046.0,0.0,166046.0,166046.0,166046.0,166046.0,0.0,166046.0,166046.0,0,0,0,0,0,0,0,0,0,40,0,12.044855040169592,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32112,0,0,20,0,0,0,0,1.659982467091686E15,0.0,1.659982467091686E15,1.659982467091686E15,NeedManualLabel
172.17.0.2-31.13.74.35-38046-443-6,172.17.0.2,38046,31.13.74.35,443,6,08/08/2022 06:14:27 PM,1430836,10,7,641.0,3841.0,392.0,0.0,64.10000000000001,126.1255547284354,2920.0,0.0,548.7142857142857,1059.9111148717006,3132.4344648862625,11.881165975695328,89427.24999999999,228282.40117056767,928527.0,85.0,1430836.0,158981.77777777778,299508.37790944084,928527.0,156.0,421948.0,70324.66666666667,48347.17651183641,133448.0,671.0,0,0,0,0,220,144,6.988921162173722,4.8922448135216055,0.0,2920.0,248.99999999999997,682.3971588107187,465665.88235294115,1,2,0,8,16,0,0,0,0.0,263.6470588235294,64.1,548.7142857142857,0,0,0,4482,8,3320,0,37,0,225,64240,32151,4,20,0,0,0,0,1.659982467266216E15,0.0,1.659982467266216E15,1.659982467266216E15,NeedManualLabel
172.17.0.2-157.240.12.35-48714-443-6,172.17.0.2,48714,157.240.12.35,443,6,08/08/2022 06:14:27 PM,1540337,13,7,832.0,4347.0,396.0,0.0,63.99999999999999,118.65706890025558,2920.0,0.0,621.0000000000001,1033.1187411586984,3362.251247616593,12.984171645555485,81070.36842105263,162861.4401161001,523914.0,70.0,1540337.0,128361.41666666667,191855.735509053,523914.0,73.0,910647.0,151774.5,189510.98284030927,509052.0,683.0,0,0,0,0,280,144,8.439711569611065,4.54446007594442,0.0,2920.0,246.61904761904756,634.3679906955014,402422.74761904764,1,2,0,10,19,0,0,0,0.0,258.95,64.0,621.0,0,0,0,5179,10,3611,0,41,0,217,64240,31960,5,20,0,0,0,0,1.659982467888776E15,0.0,1.659982467888776E15,1.659982467888776E15,NeedManualLabel
172.17.0.2-31.13.74.18-39644-443-6,172.17.0.2,39644,31.13.74.18,443,6,08/08/2022 06:14:28 PM,567460,35,40,655.0,62081.0,396.0,0.0,18.71428571428572,74.09833348470183,5840.0,0.0,1552.0249999999996,1084.3592811614728,110555.81010115251,132.16790610791952,7668.378378378371,26957.31906597411,200051.0,-519.0,567460.0,16690.0,38263.93785513742,200392.0,4.0,485695.0,12453.717948717951,34478.60836270629,200202.0,0.0,0,0,0,0,720,804,61.67835618369577,70.48954992422374,0.0,5840.0,825.4736842105264,1099.2169997919332,1208278.0126315786,1,2,0,34,74,0,0,0,1.0,836.48,18.714285714285715,1552.025,0,0,0,62736,41,129391,0,8,0,827,64240,32113,3,20,0,0,0,0,1.659982468993858E15,0.0,1.659982468993858E15,1.659982468993858E15,NeedManualLabel
157.240.12.35-172.17.0.2-443-48714-6,157.240.12.35,443,172.17.0.2,48714,6,08/08/2022 06:14:29 PM,143563,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,167.1739932991091,27.862332216518183,47854.33333333333,82884.88097556353,143561.0,-280.0,143563.0,71781.5,101511.54240035957,143561.0,2.0,0,0,0,0,0,0,0,0,0,60,20,20.896749162388637,6.965583054129546,0.0,24.0,4.8,10.73312629199899,115.2,1,0,1,1,3,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,0,6,0,0,31935,0,1,20,0,0,0,0,1.659982469430315E15,0.0,1.659982469430315E15,1.659982469430315E15,NeedManualLabel
