Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.17.0.2-142.251.132.78-56772-80-6,172.17.0.2,56772,142.251.132.78,80,6,08/08/2022 06:11:26 PM,481669,5,3,137.0,528.0,137.0,0.0,27.4,61.26826258349424,528.0,0.0,176.0,304.8409421321224,1380.616149264329,16.608916081375384,68809.85714285714,108805.19924223685,291256.0,77.0,481669.0,120417.25,124212.01998565464,291256.0,439.0,122013.0,61006.5,85806.70079020635,121681.0,332.0,0,0,0,0,120,64,10.380572550859615,6.228343530515769,0.0,528.0,73.88888888888889,176.21609208897783,31052.111111111113,1,2,0,2,7,0,0,0,0.0,83.125,27.4,176.0,0,0,0,0,0,0,0,17,0,66,64240,32631,1,20,0,0,0,0,1.659982286673184E15,0.0,1.659982286673184E15,1.659982286673184E15,NeedManualLabel
172.17.0.2-142.250.79.228-33482-80-6,172.17.0.2,33482,142.250.79.228,80,6,08/08/2022 06:11:26 PM,299525,15,13,141.0,15429.0,141.0,0.0,9.4,36.40604345434972,1460.0,0.0,1186.846153846154,536.3617942760039,51982.305316751525,93.48134546365078,11093.51851851852,29418.50885382086,136344.0,-332.0,299525.0,21394.64285714286,47897.710407150495,174410.0,1.0,232145.0,19345.416666666664,39979.30614127613,136935.0,0.0,0,0,0,0,320,264,50.07929221267006,43.40205325098072,0.0,1460.0,536.8965517241378,692.4196366380509,479444.95320197043,1,2,0,12,27,0,0,0,0.0,556.0714285714286,9.4,1186.8461538461538,0,0,0,15570,12,67241,0,5,0,551,64240,32627,1,20,0,0,0,0,1.659982286916787E15,0.0,1.659982286916787E15,1.659982286916787E15,NeedManualLabel
142.251.132.78-172.17.0.2-80-56772-6,142.251.132.78,80,172.17.0.2,56772,6,08/08/2022 06:11:27 PM,68616,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,29.147720648245308,68616.0,0.0,68616.0,68616.0,68616.0,68616.0,0.0,68616.0,68616.0,0,0,0,0,0,0,0,0,0,40,0,29.147720648245308,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32630,0,0,20,0,0,0,0,1.659982287155802E15,0.0,1.659982287155802E15,1.659982287155802E15,NeedManualLabel
142.250.79.228-172.17.0.2-80-33482-6,142.250.79.228,80,172.17.0.2,33482,6,08/08/2022 06:11:27 PM,59305,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,33.72396931118793,59305.0,0.0,59305.0,59305.0,59305.0,59305.0,0.0,59305.0,59305.0,0,0,0,0,0,0,0,0,0,40,0,33.72396931118793,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32626,0,0,20,0,0,0,0,1.659982287220879E15,0.0,1.659982287220879E15,1.659982287220879E15,NeedManualLabel
172.17.0.2-142.251.129.78-32914-80-6,172.17.0.2,32914,142.251.129.78,80,6,08/08/2022 06:11:34 PM,1140985,5,3,142.0,377.0,142.0,0.0,28.4,63.504330560994035,377.0,0.0,125.66666666666667,217.66105148448892,454.87013413848564,7.011485689995925,162997.85714285713,358110.03191962687,972601.0,83.0,1140985.0,285246.25,460841.0923368813,972601.0,403.0,119997.0,59998.5,4531.847360624583,63203.0,56794.0,0,0,0,0,120,64,4.382178556247453,2.6293071337484717,0.0,377.0,57.666666666666664,128.6293123669718,16545.5,1,2,0,2,7,0,0,0,0.0,64.875,28.4,125.66666666666667,0,0,0,0,0,0,0,17,0,47,64240,32626,1,20,0,0,0,0,1.659982294568469E15,0.0,1.659982294568469E15,1.659982294568469E15,NeedManualLabel
142.251.129.78-172.17.0.2-80-32914-6,142.251.129.78,80,172.17.0.2,32914,6,08/08/2022 06:11:35 PM,75725,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,26.411356883459888,75725.0,0.0,75725.0,75725.0,75725.0,75725.0,0.0,75725.0,75725.0,0,0,0,0,0,0,0,0,0,40,0,26.411356883459888,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32625,0,0,20,0,0,0,0,1.659982295710075E15,0.0,1.659982295710075E15,1.659982295710075E15,NeedManualLabel
172.17.0.2-142.251.129.78-32894-443-6,172.17.0.2,32894,142.251.129.78,443,6,08/08/2022 06:11:34 PM,1481688,282,290,639.0,672667.0,395.0,0.0,2.2659574468085104,25.857056636548105,23360.0,0.0,2319.541379310344,2326.6599670102323,454418.2041023482,386.04618516178846,2594.900175131347,19540.69088012177,270125.0,-724.0,1481688.0,5272.911032028469,35379.48618099677,522378.0,1.0,1406776.0,4867.737024221454,27541.814021164937,270125.0,0.0,0,0,0,0,5660,5804,190.32346890843417,195.7227162533543,0.0,23360.0,1175.0541012216422,2019.898587308778,4079990.3030119967,1,2,0,220,571,0,0,0,1.0,1177.1083916083917,2.265957446808511,2319.541379310345,0,0,0,673306,290,480180,0,1,0,1175,64240,32129,3,20,0,0,0,0,1.659982294738751E15,0.0,1.659982294738751E15,1.659982294738751E15,NeedManualLabel
142.251.129.78-172.17.0.2-443-32894-6,142.251.129.78,443,172.17.0.2,32894,6,08/08/2022 06:11:36 PM,57549,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,34.75299310153087,57549.0,0.0,57549.0,57549.0,57549.0,57549.0,0.0,57549.0,57549.0,0,0,0,0,0,0,0,0,0,40,0,34.75299310153087,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32128,0,0,20,0,0,0,0,1.659982296221249E15,0.0,1.659982296221249E15,1.659982296221249E15,NeedManualLabel
172.17.0.2-91.189.91.38-39518-80-6,172.17.0.2,39518,91.189.91.38,80,6,08/08/2022 06:11:48 PM,13054549,1017,1330,3181.0,2070419.0,1460.0,0.0,3.127826941986227,48.5199790663593,11680.0,0.0,1556.7060150375944,997.3634717076181,158841.1824874226,179.78407373552315,5564.598891730598,29872.277976754507,751208.0,-490.0,1.3054549E7,12848.965551181118,45278.53272396608,751307.0,3.0,1.2828707E7,9652.902182091795,38796.419786469414,751279.0,0.0,0,0,0,0,20360,26604,77.90387856370987,101.88019517181328,0.0,11680.0,883.1345826235104,1075.775993735225,1157293.9886970108,1,2,0,1074,2346,0,0,0,1.0,883.5108649339583,3.127826941986234,1556.706015037594,0,0,0,2073600,1339,161658,0,1,0,882,64240,31365,12,20,0,0,0,0,1.659982308553863E15,0.0,1.659982308553863E15,1.659982308553863E15,NeedManualLabel
91.189.91.38-172.17.0.2-80-39518-6,91.189.91.38,80,172.17.0.2,39518,6,08/08/2022 06:12:01 PM,166967,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11.978414896356766,166967.0,0.0,166967.0,166967.0,166967.0,166967.0,0.0,166967.0,166967.0,0,0,0,0,0,0,0,0,0,40,0,11.978414896356766,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,31364,0,0,20,0,0,0,0,1.659982321609044E15,0.0,1.659982321609044E15,1.659982321609044E15,NeedManualLabel
Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.17.0.2-8.8.8.8-47711-53-17,172.17.0.2,47711,8.8.8.8,53,17,08/08/2022 06:11:48 PM,362259,1,1,47.0,108.0,47.0,47.0,47.0,0.0,108.0,108.0,108.0,0.0,427.87066711938144,5.52091183379847,362259.0,0.0,362259.0,362259.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.760455916899235,2.760455916899235,47.0,108.0,67.33333333333333,35.21836642056717,1240.3333333333333,0,0,0,0,0,0,0,0,1.0,101.0,47.0,108.0,0,0,0,0,0,0,0,23,0,54,0,0,0,8,0,0,0,0,1.659982308121389E15,0.0,1.659982308121389E15,1.659982308121389E15,NeedManualLabel
172.17.0.2-8.8.8.8-50359-53-17,172.17.0.2,50359,8.8.8.8,53,17,08/08/2022 06:11:26 PM,419897,2,2,56.0,100.0,28.0,28.0,28.0,0.0,56.0,44.0,50.0,8.48528137423857,371.5196822077795,9.526145697635371,139965.6666666667,193020.44267469013,360236.0,375.0,375.0,375.0,0.0,375.0,375.0,360236.0,360236.0,0.0,360236.0,360236.0,0,0,0,0,16,16,4.763072848817686,4.763072848817686,28.0,56.0,36.8,12.77497553813705,163.2,0,0,0,0,0,0,0,0,1.0,46.0,28.0,50.0,0,0,0,156,4,371,0,14,0,25,0,0,1,8,0,0,0,0,1.659982286252847E15,0.0,1.659982286252847E15,1.659982286252847E15,NeedManualLabel
172.17.0.2-8.8.8.8-33190-53-17,172.17.0.2,33190,8.8.8.8,53,17,08/08/2022 06:11:48 PM,68352,1,1,36.0,100.0,36.0,36.0,36.0,0.0,100.0,100.0,100.0,0.0,1989.7003745318352,29.260299625468168,68352.0,0.0,68352.0,68352.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,14.630149812734084,14.630149812734084,36.0,100.0,57.33333333333333,36.95041722813605,1365.3333333333333,0,0,0,0,0,0,0,0,1.0,86.0,36.0,100.0,0,0,0,0,0,0,0,18,0,50,0,0,0,8,0,0,0,0,1.659982308484816E15,0.0,1.659982308484816E15,1.659982308484816E15,NeedManualLabel
172.17.0.2-8.8.8.8-43586-53-17,172.17.0.2,43586,8.8.8.8,53,17,08/08/2022 06:11:36 PM,67102,2,2,44.0,194.0,22.0,22.0,22.0,0.0,97.0,97.0,97.0,0.0,3546.8391404131025,59.6107418556824,22367.333333333332,33022.26879445647,60307.0,95.0,95.0,95.0,0.0,95.0,95.0,6700.0,6700.0,0.0,6700.0,6700.0,0,0,0,0,16,16,29.8053709278412,29.8053709278412,22.0,97.0,52.0,41.07919181288746,1687.5,0,0,0,0,0,0,0,0,1.0,65.0,22.0,97.0,0,0,0,238,4,3546,0,11,0,48,0,0,1,8,0,0,0,0,1.65998229622453E15,0.0,1.65998229622453E15,1.65998229622453E15,NeedManualLabel
172.17.0.2-8.8.8.8-35064-53-17,172.17.0.2,35064,8.8.8.8,53,17,08/08/2022 06:11:34 PM,73552,2,2,66.0,438.0,33.0,33.0,33.0,0.0,259.0,179.0,219.0,56.568542494923804,6852.294974983684,54.383293452251465,24517.333333333332,33423.15690256283,62614.0,122.0,122.0,122.0,0.0,122.0,122.0,10816.0,10816.0,0.0,10816.0,10816.0,0,0,0,0,16,16,27.191646726125732,27.191646726125732,33.0,259.0,107.4,105.72984441490492,11178.8,0,0,0,0,0,0,0,0,1.0,134.25,33.0,219.0,0,0,0,504,4,6852,0,16,0,109,0,0,1,8,0,0,0,0,1.659982294494221E15,0.0,1.659982294494221E15,1.659982294494221E15,NeedManualLabel
172.17.0.2-8.8.8.8-33614-53-17,172.17.0.2,33614,8.8.8.8,53,17,08/08/2022 06:11:26 PM,52180,2,2,64.0,108.0,32.0,32.0,32.0,0.0,60.0,48.0,54.0,8.48528137423857,3296.2821004216175,76.65772326561901,17393.333333333332,24737.097492093395,45770.0,377.0,377.0,377.0,0.0,377.0,377.0,6033.0,6033.0,0.0,6033.0,6033.0,0,0,0,0,16,16,38.328861632809506,38.328861632809506,32.0,60.0,40.8,12.77497553813705,163.2,0,0,0,0,0,0,0,0,1.0,51.0,32.0,54.0,0,0,0,172,4,3296,0,16,0,27,0,0,1,8,0,0,0,0,1.659982286864223E15,0.0,1.659982286864223E15,1.659982286864223E15,NeedManualLabel
