Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.17.0.2-8.8.8.8-49018-53-17,172.17.0.2,49018,8.8.8.8,53,17,08/08/2022 06:13:25 PM,74450,2,2,56.0,156.0,28.0,28.0,28.0,0.0,112.0,44.0,78.0,48.08326112068523,2847.548690396239,53.72733378106111,24816.666666666664,37736.50781846849,68255.0,118.0,118.0,118.0,0.0,118.0,118.0,6077.0,6077.0,0.0,6077.0,6077.0,0,0,0,0,16,16,26.863666890530556,26.863666890530556,28.0,112.0,48.0,36.4417343165772,1328.0,0,0,0,0,0,0,0,0,1.0,60.0,28.0,78.0,0,0,0,212,4,2847,0,14,0,39,0,0,1,8,0,0,0,0,1.659982405190358E15,0.0,1.659982405190358E15,1.659982405190358E15,NeedManualLabel
172.17.0.2-8.8.8.8-52672-53-17,172.17.0.2,52672,8.8.8.8,53,17,08/08/2022 06:13:21 PM,73499,2,2,56.0,156.0,28.0,28.0,28.0,0.0,112.0,44.0,78.0,48.08326112068523,2884.392984938571,54.422509149784354,24499.666666666668,32559.574725928676,61541.0,404.0,404.0,404.0,0.0,404.0,404.0,11554.0,11554.0,0.0,11554.0,11554.0,0,0,0,0,16,16,27.211254574892177,27.211254574892177,28.0,112.0,48.0,36.4417343165772,1328.0,0,0,0,0,0,0,0,0,1.0,60.0,28.0,78.0,0,0,0,212,4,2884,0,14,0,39,0,0,1,8,0,0,0,0,1.659982401078064E15,0.0,1.659982401078064E15,1.659982401078064E15,NeedManualLabel
20.201.28.151-172.17.0.2-443-36416-6,20.201.28.151,443,172.17.0.2,36416,6,08/08/2022 06:13:21 PM,73959,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,324.5041171459863,40.56301464324829,36979.5,52151.24643285144,73856.0,103.0,73856.0,73856.0,0.0,73856.0,73856.0,0,0,0,0,0,0,0,0,0,40,20,27.042009762165524,13.521004881082762,0.0,24.0,6.0,12.0,144.0,0,0,1,1,2,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,0,8,0,0,32154,0,1,20,0,0,0,0,1.659982401845544E15,0.0,1.659982401845544E15,1.659982401845544E15,NeedManualLabel
196.200.160.70-172.17.0.2-443-58308-6,196.200.160.70,443,172.17.0.2,58308,6,08/08/2022 06:13:14 PM,6431,3,2,4380.0,0.0,2920.0,0.0,1460.0,1460.0,0.0,0.0,0.0,0.0,681076.0379412222,777.4840615767376,1607.75,2618.6034923218135,5530.0,121.0,6115.0,3057.5,3496.6430329674777,5530.0,585.0,437.0,437.0,0.0,437.0,437.0,0,0,0,0,60,40,466.4904369460426,310.9936246306951,0.0,2920.0,730.0,1221.5236387397504,1492120.0,0,0,2,2,3,0,0,0,0.0,876.0,1460.0,0.0,0,0,0,0,0,0,0,876,0,0,32060,0,2,20,0,0,0,0,1.659982394586117E15,0.0,1.659982394586117E15,1.659982394586117E15,NeedManualLabel
172.17.0.2-8.8.8.8-50230-53-17,172.17.0.2,50230,8.8.8.8,53,17,08/08/2022 06:13:33 PM,94148,1,1,47.0,108.0,47.0,47.0,47.0,0.0,108.0,108.0,108.0,0.0,1646.3440540425713,21.243149084420274,94148.0,0.0,94148.0,94148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10.621574542210137,10.621574542210137,47.0,108.0,67.33333333333333,35.21836642056717,1240.3333333333333,0,0,0,0,0,0,0,0,1.0,101.0,47.0,108.0,0,0,0,0,0,0,0,23,0,54,0,0,0,8,0,0,0,0,1.659982413492421E15,0.0,1.659982413492421E15,1.659982413492421E15,NeedManualLabel
172.17.0.2-8.8.8.8-34882-53-17,172.17.0.2,34882,8.8.8.8,53,17,08/08/2022 06:13:21 PM,72222,2,2,56.0,156.0,28.0,28.0,28.0,0.0,112.0,44.0,78.0,48.08326112068523,2935.3936473650692,55.384785799340925,24074.0,38812.902223358666,68849.0,1.0,3372.0,3372.0,0.0,3372.0,3372.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,16,16,27.692392899670462,27.692392899670462,28.0,112.0,48.0,36.4417343165772,1328.0,0,0,0,0,0,0,0,0,1.0,60.0,28.0,78.0,0,0,0,212,4,2935,0,14,0,39,0,0,1,8,0,0,0,0,1.659982401853831E15,0.0,1.659982401853831E15,1.659982401853831E15,NeedManualLabel
172.17.0.2-8.8.8.8-34536-53-17,172.17.0.2,34536,8.8.8.8,53,17,08/08/2022 06:13:23 PM,65374,2,2,56.0,156.0,28.0,28.0,28.0,0.0,112.0,44.0,78.0,48.08326112068523,3242.8794321901673,61.186404380946556,21791.333333333336,37645.01125425962,65260.0,1.0,113.0,113.0,0.0,113.0,113.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,16,16,30.593202190473278,30.593202190473278,28.0,112.0,48.0,36.4417343165772,1328.0,0,0,0,0,0,0,0,0,1.0,60.0,28.0,78.0,0,0,0,212,4,3242,0,14,0,39,0,0,1,8,0,0,0,0,1.659982403847433E15,0.0,1.659982403847433E15,1.659982403847433E15,NeedManualLabel
172.17.0.2-8.8.8.8-46422-53-17,172.17.0.2,46422,8.8.8.8,53,17,08/08/2022 06:13:33 PM,61455,1,1,36.0,100.0,36.0,36.0,36.0,0.0,100.0,100.0,100.0,0.0,2213.0013831258643,32.544137987145064,61455.0,0.0,61455.0,61455.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16.272068993572532,16.272068993572532,36.0,100.0,57.33333333333333,36.95041722813605,1365.3333333333333,0,0,0,0,0,0,0,0,1.0,86.0,36.0,100.0,0,0,0,0,0,0,0,18,0,50,0,0,0,8,0,0,0,0,1.659982413587163E15,0.0,1.659982413587163E15,1.659982413587163E15,NeedManualLabel
172.17.0.2-8.8.8.8-50192-53-17,172.17.0.2,50192,8.8.8.8,53,17,08/08/2022 06:13:22 PM,82844,2,2,56.0,156.0,28.0,28.0,28.0,0.0,112.0,44.0,78.0,48.08326112068523,2559.0266042199796,48.28352083433924,27614.666666666668,28678.346820089428,57341.0,114.0,114.0,114.0,0.0,114.0,114.0,25389.0,25389.0,0.0,25389.0,25389.0,0,0,0,0,16,16,24.14176041716962,24.14176041716962,28.0,112.0,48.0,36.4417343165772,1328.0,0,0,0,0,0,0,0,0,1.0,60.0,28.0,78.0,0,0,0,212,4,2559,0,14,0,39,0,0,1,8,0,0,0,0,1.659982402702747E15,0.0,1.659982402702747E15,1.659982402702747E15,NeedManualLabel
172.17.0.2-185.125.190.39-58920-80-6,172.17.0.2,58920,185.125.190.39,80,6,08/08/2022 06:13:33 PM,32979720,3571,4848,1808.0,7230854.0,1357.0,0.0,0.506300756090735,23.121664621198452,16060.0,0.0,1491.5127887788803,818.3562773888374,219306.3494778003,255.27809211236482,3917.7619387027817,12631.983415096694,387662.0,-722.0,3.297972E7,9238.016806722682,19503.966096463875,388022.0,2.0,3.2736011E7,6753.8706416340065,15934.100932199368,387924.0,0.0,0,0,0,0,71440,96964,108.27866337252105,146.99942873984375,0.0,16060.0,858.985985748217,963.7777064428861,928867.46743631,0,2,0,3955,8418,0,0,0,1.0,859.0880152037059,0.5063007560907309,1491.5127887788778,0,0,0,7232662,4849,220944,0,0,0,858,64240,32458,4,20,0,0,0,0,1.659982413648973E15,0.0,1.659982413648973E15,1.659982413648973E15,NeedManualLabel
